Date,Open,High,Low,Close,Adj Close,Volume
2022-02-02,308.316681,314.333344,305.250000,313.549988,311.094604,1389831
2022-02-03,310.666656,316.283325,303.366669,315.233337,312.764771,3320238
2022-02-04,315.333344,318.083344,309.016663,316.733337,314.253021,981450
2022-02-07,316.733337,319.216675,308.799988,313.816681,311.359222,767628
2022-02-08,313.683319,317.733337,313.333344,315.216675,312.748230,1307355
2022-02-09,317.000000,317.000000,304.866669,309.066681,306.646393,1155735
2022-02-10,309.066681,309.166656,295.433319,297.116669,294.789948,2307894
2022-02-11,298.666656,313.633331,297.116669,312.166656,309.722107,2079381
2022-02-14,309.816681,313.333344,299.566681,303.766663,301.387909,1548267
2022-02-15,303.000000,313.200012,301.666656,304.116669,301.735168,1519110
2022-02-16,306.033325,314.000000,306.033325,313.016663,310.565460,952647
2022-02-17,311.666656,317.000000,309.000000,310.216675,307.787384,1032075
2022-02-18,310.166656,319.966675,308.583344,317.933319,315.443573,1532340
2022-02-21,318.833344,323.000000,310.000000,313.399994,310.945801,1248525
2022-02-22,307.666656,311.066681,303.750000,305.850006,303.454895,863427
2022-02-23,308.333344,312.333344,305.333344,307.216675,304.810883,774348
2022-02-24,295.000000,302.450012,293.216675,294.883331,292.574127,1742814
2022-02-25,295.666656,313.116669,295.666656,310.733337,308.300018,670302
2022-02-28,310.000000,317.000000,306.000000,315.166656,312.698608,794730
2022-03-02,315.000000,338.266663,311.016663,325.283325,322.736053,4651956
2022-03-03,327.666656,337.000000,325.383331,328.100006,325.530670,2113416
2022-03-04,326.966675,326.966675,307.000000,310.466675,308.035400,686802
2022-03-07,303.833344,304.799988,291.799988,301.566681,299.205139,1605957
2022-03-08,304.283325,308.333344,300.416656,303.500000,301.123291,915549
2022-03-09,305.600006,305.616669,298.033325,302.000000,299.635071,1693308
2022-03-10,307.966675,312.966675,303.333344,307.466675,305.058899,1774398
2022-03-11,306.000000,307.583344,300.750000,303.450012,301.073700,1499073
2022-03-14,303.450012,303.450012,297.333344,299.799988,297.452271,1304673
2022-03-15,301.466675,311.566681,296.750000,308.333344,305.918793,1681626
2022-03-16,312.366669,316.183319,309.200012,313.600006,311.144196,774444
2022-03-17,318.333344,322.000000,305.016663,316.299988,313.823059,2732463
2022-03-21,313.316681,318.000000,306.883331,314.433319,311.970978,1332504
2022-03-22,316.000000,326.333344,314.683319,320.200012,317.692535,1850976
2022-03-23,321.333344,329.966675,320.883331,328.683319,326.109406,1355649
2022-03-24,327.333344,328.866669,320.000000,323.000000,320.470612,809904
2022-03-25,323.333344,325.333344,316.666656,319.200012,316.700378,925302
2022-03-28,319.966675,320.000000,308.333344,312.933319,310.482788,1550484
2022-03-29,312.933319,314.983337,309.666656,311.350006,308.911865,979227
2022-03-30,312.799988,327.899994,312.466675,320.266663,317.758667,968850
2022-03-31,324.333344,324.333344,310.350006,313.766663,311.309570,956013
2022-04-01,311.666656,319.783325,310.583344,312.966675,310.515839,1340070
2022-04-04,315.266663,319.233337,313.716675,317.416656,314.930969,1157619
2022-04-05,318.799988,321.333344,314.666656,318.183319,315.691650,1502397
2022-04-06,318.333344,326.666656,315.616669,324.483337,321.942322,1528389
2022-04-07,327.383331,333.000000,316.750000,320.066681,317.560272,2380152
2022-04-08,324.200012,327.383331,318.333344,320.750000,318.238220,850758
2022-04-11,323.166656,323.166656,317.000000,317.683319,315.195557,1064520
2022-04-12,318.000000,331.433319,315.033325,327.966675,325.398407,3147576
2022-04-13,331.666656,350.283325,331.333344,337.016663,334.377502,4056186
2022-04-18,337.983337,360.000000,337.333344,352.933319,350.169525,5298249
2022-04-19,360.000000,365.666656,345.600006,348.916656,346.184326,2198220
2022-04-20,354.266663,373.000000,353.533325,356.733337,353.939758,3665226
2022-04-21,369.666656,369.666656,348.000000,351.983337,349.226959,1949622
2022-04-22,347.333344,356.366669,344.416656,346.633331,343.918854,2299935
2022-04-25,346.333344,367.750000,345.566681,364.933319,362.075562,4000692
2022-04-26,375.333344,382.333344,354.666656,356.899994,354.105103,3281139
2022-04-27,356.899994,358.483337,344.333344,345.483337,342.777893,6096624
2022-04-28,350.666656,367.333344,350.000000,353.200012,350.434143,6713889
2022-04-29,359.950012,384.649994,358.350006,361.183319,358.354919,9554409
2022-05-02,360.666656,377.333344,360.033325,368.283325,365.399292,4463868
2022-05-04,371.666656,374.933319,359.333344,363.333344,360.488098,2713245
2022-05-05,365.216675,372.583344,350.666656,366.433319,363.563812,9494232
2022-05-06,361.333344,362.750000,353.333344,358.533325,355.725677,1265364
2022-05-09,353.333344,357.966675,350.000000,352.966675,350.202606,3164868
2022-05-10,355.166656,364.600006,351.450012,360.600006,357.776184,3164112
2022-05-11,360.333344,368.416656,343.333344,349.799988,347.060730,3402645
2022-05-12,349.983337,357.983337,345.116669,354.750000,351.971954,3439491
2022-05-13,361.666656,370.333344,356.766663,363.683319,360.835327,5295861
2022-05-16,366.666656,373.333344,363.399994,368.133331,365.250519,1246752
2022-05-17,370.000000,381.666656,366.750000,369.966675,367.069489,2859537
2022-05-18,373.133331,376.233337,362.000000,367.733337,364.853638,1278366
2022-05-19,355.333344,364.433319,349.283325,353.716675,350.946747,2373393
2022-05-20,358.000000,371.316681,352.333344,367.783325,364.903259,2395194
2022-05-23,363.333344,371.083344,356.666656,359.683319,356.866669,2528955
2022-05-24,363.000000,374.666656,360.916656,369.683319,366.788361,1974762
2022-05-25,372.633331,373.233337,351.666656,354.516663,351.740448,2480721
2022-05-26,356.666656,363.783325,354.016663,356.899994,354.105103,1505328
2022-05-27,361.666656,372.333344,359.600006,363.200012,360.355835,2008806
2022-05-30,366.666656,368.933319,359.333344,362.583344,359.743988,3171720
2022-05-31,363.299988,365.666656,348.133331,352.166656,349.408875,12635475
2022-06-01,352.866669,373.333344,350.666656,369.700012,366.804901,2286273
2022-06-02,373.666656,388.966675,362.016663,379.666656,376.693481,3840729
2022-06-03,383.333344,386.166656,363.666656,366.816681,363.944153,3963954
2022-06-06,374.950012,380.000000,360.024994,366.524994,363.654755,2290772
2022-06-07,369.450012,373.500000,363.700012,371.549988,368.640411,1338386
2022-06-08,375.000000,376.649994,368.075012,372.375000,369.458954,1338162
2022-06-09,372.000000,372.225006,366.850006,370.000000,367.102570,1219738
2022-06-10,367.000000,378.649994,365.524994,377.250000,374.295776,1139726
2022-06-13,374.250000,382.000000,367.625000,374.024994,371.096039,1219970
2022-06-14,373.000000,397.000000,370.524994,386.850006,383.820618,2443096
2022-06-15,394.500000,402.799988,387.500000,393.424988,390.344086,3725780
2022-06-16,396.950012,397.475006,382.725006,389.575012,386.524292,2067344
2022-06-17,385.000000,388.049988,373.024994,375.524994,372.584290,4273258
2022-06-20,375.524994,379.500000,360.500000,376.174988,373.229187,3035734
2022-06-21,379.500000,379.500000,365.225006,369.350006,366.457642,1191618
2022-06-22,370.399994,379.500000,365.250000,374.250000,371.319275,3091218
2022-06-23,377.399994,383.850006,367.649994,376.774994,373.824493,1654516
2022-06-24,379.500000,390.000000,378.000000,385.250000,382.233124,1358338
2022-06-27,389.950012,389.950012,364.049988,388.174988,385.135193,1186616
2022-06-28,388.975006,394.350006,384.225006,389.975006,386.921112,1278156
2022-06-29,388.000000,395.000000,385.024994,392.549988,389.475952,1107396
2022-06-30,392.500000,397.000000,392.000000,395.274994,392.179626,1076388
2022-07-01,395.000000,404.500000,393.100006,397.000000,393.891144,1903148
2022-07-04,397.000000,402.950012,390.274994,393.049988,389.972015,973180
2022-07-05,393.049988,405.000000,393.000000,397.674988,394.560822,3168344
2022-07-06,397.500000,412.975006,396.250000,410.500000,407.285431,2995446
2022-07-07,415.000000,423.500000,409.049988,413.600006,410.361115,2494090
2022-07-08,417.450012,425.899994,409.950012,424.274994,420.952515,2073438
2022-07-11,425.649994,432.875000,422.825012,427.625000,424.276276,1648284
2022-07-12,428.125000,432.500000,418.799988,426.725006,423.383331,1991836
2022-07-13,431.500000,440.000000,428.725006,437.350006,433.925140,2754110
2022-07-14,440.000000,441.700012,412.100006,417.399994,414.131378,2538014
2022-07-15,422.000000,427.500000,408.850006,413.299988,410.063477,1827586
2022-07-18,418.350006,432.950012,413.774994,428.075012,424.722778,3130866
2022-07-19,429.325012,442.125000,426.825012,439.549988,436.107910,2592884
2022-07-20,443.450012,450.000000,437.500000,446.674988,443.177124,2496116
2022-07-21,449.125000,455.299988,434.000000,435.975006,432.560883,3074446
2022-07-22,438.450012,441.100006,427.600006,436.149994,432.734528,1398342
2022-07-25,438.799988,445.000000,431.500000,437.475006,434.049164,1169704
2022-07-26,437.500000,441.125000,434.024994,439.075012,435.636627,1517506
2022-07-27,439.500000,442.350006,433.024994,434.950012,431.543945,925478
2022-07-28,437.500000,442.000000,429.500000,438.125000,434.694061,1129870
2022-07-29,440.500000,446.250000,437.524994,441.350006,437.893829,2165318
2022-08-01,445.899994,473.000000,445.000000,463.049988,459.423859,7625306
2022-08-02,480.000000,480.000000,456.000000,457.799988,454.214966,5298738
2022-08-03,457.500000,474.500000,452.174988,471.299988,467.609283,4944526
2022-08-04,474.500000,513.900024,472.899994,501.875000,497.944824,7224856
2022-08-05,509.350006,523.900024,497.500000,512.625000,508.610657,5840456
2022-08-08,512.000000,512.000000,496.100006,505.825012,501.863922,4056352
2022-08-10,509.975006,510.924988,497.500000,501.500000,497.572754,4179180
2022-08-11,507.399994,509.825012,498.575012,501.325012,499.891144,2674878
2022-08-12,502.500000,517.125000,501.325012,512.750000,511.283447,2015706
2022-08-16,515.000000,542.075012,508.750000,519.625000,518.138794,3670000
2022-08-17,522.500000,522.500000,513.049988,518.250000,516.767700,2612626
2022-08-18,518.250000,526.075012,516.075012,520.450012,518.961426,2216298
2022-08-19,523.000000,523.000000,492.774994,494.075012,492.661865,3357902
2022-08-22,498.500000,498.500000,453.950012,459.875000,458.559692,4612314
2022-08-23,459.875000,485.100006,458.524994,481.774994,480.397064,4381768
2022-08-24,485.000000,522.500000,481.774994,515.450012,513.975769,7854524
2022-08-25,518.950012,520.450012,497.325012,514.150024,512.679443,5050404
2022-08-26,515.275024,517.500000,504.774994,511.700012,510.236450,1532300
2022-08-29,487.000000,504.000000,480.000000,501.100006,499.666779,1969186
2022-08-30,506.975006,521.500000,505.024994,517.075012,515.596130,2901516
2022-09-01,512.500000,525.500000,503.750000,521.099976,519.609558,3826384
2022-09-02,520.500000,523.500000,512.799988,515.799988,514.324707,1523304
2022-09-05,523.000000,523.000000,510.325012,516.700012,515.222168,2392602
2022-09-06,520.150024,551.400024,517.099976,546.875000,545.310852,4547102
2022-09-07,546.875000,549.875000,538.000000,541.450012,539.901367,2512606
2022-09-08,548.500000,555.000000,543.000000,549.125000,547.554443,2804160
2022-09-09,552.349976,553.950012,537.549988,540.099976,538.555176,1729194
2022-09-12,544.250000,545.674988,530.000000,533.549988,532.023926,2548758
2022-09-13,537.500000,548.224976,535.125000,537.849976,536.311646,2462632
2022-09-14,534.099976,540.325012,533.000000,536.099976,534.566650,2731388
2022-09-15,535.000000,554.650024,535.000000,547.174988,545.609985,2969410
2022-09-16,549.500000,555.000000,536.799988,551.174988,549.598511,2789658
2022-09-19,540.000000,559.150024,534.174988,540.549988,539.003967,1657362
2022-09-20,547.000000,563.000000,545.825012,561.325012,559.719543,2216336
2022-09-21,561.325012,569.000000,547.525024,562.200012,560.592041,1941244
2022-09-22,561.900024,597.349976,557.500000,585.250000,583.576111,4153486
2022-09-23,587.500000,587.500000,573.750000,579.474976,577.817566,2840050
2022-09-26,572.700012,572.700012,534.174988,543.450012,541.895691,4864006
2022-09-27,541.500000,541.500000,511.524994,519.275024,517.789856,4857028
2022-09-28,519.275024,524.775024,513.325012,514.849976,513.377380,2450198
2022-09-29,525.000000,528.974976,513.625000,516.575012,515.097534,2952064
2022-09-30,517.000000,524.349976,507.500000,522.099976,520.606628,2711152
2022-10-03,522.500000,540.450012,521.299988,535.099976,533.569519,2994196
2022-10-04,547.500000,577.500000,537.799988,571.525024,569.890381,4007338
2022-10-06,569.500000,574.500000,552.775024,571.349976,569.715820,3303348
2022-10-07,571.349976,571.349976,560.025024,567.625000,566.001526,2461136
2022-10-10,554.125000,562.450012,542.525024,544.799988,543.241760,2660402
2022-10-11,549.250000,549.250000,520.000000,522.650024,521.155151,2945500
2022-10-12,530.200012,542.400024,512.775024,534.174988,532.647156,4858820
2022-10-13,544.174988,549.474976,529.000000,533.900024,532.372986,3291032
2022-10-14,538.500000,538.500000,510.000000,513.250000,511.782013,3216578
2022-10-17,505.000000,507.250000,492.799988,495.475006,494.057861,4857434
2022-10-18,500.000000,503.475006,482.549988,499.649994,498.220917,4826144
2022-10-19,503.500000,512.349976,495.325012,508.075012,506.621826,4845040
2022-10-20,507.100006,512.500000,497.500000,509.774994,508.316956,3432166
2022-10-21,509.774994,518.000000,503.000000,506.549988,505.101166,3362356
2022-10-24,513.500000,517.599976,509.975006,514.875000,513.402405,320914
2022-10-25,516.500000,526.450012,512.924988,516.349976,514.873108,5282334
2022-10-27,520.000000,533.849976,513.825012,526.150024,524.645142,5726178
2022-10-28,528.799988,532.349976,519.500000,520.025024,518.537720,2428202
2022-10-31,523.424988,527.500000,516.049988,524.525024,523.024780,2706228
2022-11-01,530.000000,557.000000,526.200012,553.500000,551.916870,10088382
2022-11-02,555.000000,582.500000,555.000000,563.750000,562.137573,7145518
2022-11-03,565.000000,616.500000,564.174988,594.500000,592.799622,12155424
2022-11-04,597.400024,610.000000,566.000000,569.450012,567.821289,5999858
2022-11-07,576.450012,586.099976,556.099976,570.799988,569.167358,4075126
2022-11-09,584.500000,589.750000,563.500000,574.025024,572.383179,4998752
2022-11-10,576.150024,576.150024,562.700012,569.525024,567.896057,2438712
2022-11-11,573.000000,581.474976,547.575012,553.200012,551.617798,3955458
2022-11-14,555.500000,567.500000,537.775024,542.150024,540.599365,3993084
2022-11-15,544.849976,557.500000,542.224976,546.299988,544.737488,3421914
2022-11-16,551.500000,574.000000,551.500000,565.799988,564.181702,4917184
2022-11-17,571.325012,575.400024,561.500000,573.974976,572.333313,3487390
2022-11-18,575.400024,576.500000,567.500000,571.950012,570.314148,2354460
2022-11-21,571.950012,577.750000,548.325012,551.650024,550.072205,3404368
2022-11-22,554.750000,580.000000,554.400024,577.599976,575.947937,4005210
2022-11-23,581.000000,587.500000,569.000000,582.250000,580.584656,3489128
2022-11-24,582.575012,590.000000,572.000000,587.849976,586.168640,2638356
2022-11-25,582.500000,592.500000,572.375000,575.974976,574.327576,2225734
2022-11-28,575.974976,593.000000,571.000000,591.650024,589.957825,4558748
2022-11-29,589.299988,589.299988,565.500000,573.075012,571.435913,3864616
2022-11-30,575.500000,662.000000,575.500000,624.875000,623.087708,70215446
2022-12-01,637.500000,642.325012,620.525024,632.099976,630.292053,9010472
2022-12-02,632.000000,677.000000,627.799988,659.299988,657.414246,11297766
2022-12-05,658.500000,688.825012,646.174988,676.400024,674.465393,3949404
2022-12-06,676.000000,681.375000,650.000000,654.799988,652.927185,6401930
2022-12-07,659.825012,678.299988,649.025024,654.450012,652.578125,5355862
2022-12-08,656.500000,690.000000,655.325012,683.375000,681.420410,4293260
2022-12-09,682.500000,714.799988,672.525024,705.125000,703.108215,5565692
2022-12-12,707.500000,716.224976,683.650024,688.125000,686.156799,4137816
2022-12-13,690.000000,693.724976,681.000000,686.625000,684.661194,2638910
2022-12-14,690.000000,710.000000,689.075012,694.424988,692.438782,3117112
2022-12-15,692.500000,699.700012,682.525024,691.575012,689.596985,2613808
2022-12-16,691.575012,709.000000,670.000000,698.325012,696.327637,3320766
2022-12-19,710.500000,710.500000,692.500000,706.950012,704.927979,2086586
2022-12-20,701.250000,705.724976,688.500000,695.650024,693.660339,2703268
2022-12-21,703.500000,711.224976,677.500000,685.575012,683.614136,2152108
2022-12-22,685.000000,699.500000,652.950012,690.275024,688.300720,4002424
2022-12-23,682.500000,682.500000,631.525024,643.799988,641.958618,2619194
2022-12-26,645.025024,684.849976,630.099976,676.349976,674.415466,2127586
2022-12-27,679.000000,687.200012,655.500000,659.450012,657.563904,1610880
2022-12-28,662.875000,672.224976,654.450012,661.724976,659.832336,1680516
2022-12-29,657.500000,684.500000,645.700012,678.599976,676.659058,2105538
2022-12-30,682.000000,690.075012,657.549988,661.275024,659.383667,1901588
2023-01-02,669.724976,678.750000,659.000000,666.549988,664.643555,1680232
2023-01-03,666.549988,669.849976,650.549988,653.349976,651.481323,1565120
2023-01-04,656.750000,664.250000,650.000000,654.275024,652.403687,1579838
2023-01-05,656.974976,665.450012,635.500000,654.424988,652.553223,3505460
2023-01-06,657.474976,659.799988,638.625000,650.450012,648.589600,2836868
2023-01-09,655.875000,662.275024,648.525024,654.375000,652.503357,2064148
2023-01-10,655.799988,656.500000,639.500000,643.650024,641.809082,1764800
2023-01-11,647.000000,647.099976,607.549988,612.525024,610.773071,4534312
2023-01-12,614.974976,614.974976,585.500000,593.549988,591.852356,4813534
2023-01-13,597.724976,597.724976,561.325012,567.875000,566.250793,7276072
2023-01-16,572.674988,606.099976,571.825012,603.674988,601.948425,6021064
2023-01-17,605.000000,612.000000,594.950012,605.150024,603.419189,3986010
2023-01-18,608.000000,612.349976,603.500000,608.650024,606.909180,1638290
2023-01-19,606.950012,616.450012,606.000000,612.275024,610.523804,3260984
2023-01-20,613.575012,618.950012,611.000000,616.325012,614.562256,2344422
2023-01-23,619.000000,620.974976,611.500000,618.424988,616.656189,1063862
2023-01-24,616.049988,625.500000,616.049988,624.275024,622.489502,1195970
2023-01-25,622.299988,625.000000,615.500000,619.825012,618.052185,857464
